Model,Image Compression,Train Image Size,Test Image Size,Training Accuracy,Test Accuracy,True Negative,False Positive,False Negative,True Positive,Train Time,Test Time
DenseNet,nearest,224,128,0.9296859371874375,0.5184036807361472,208,4791,24,4975,31.221351,6932.5628209999995
DenseNet,box,224,128,0.9296859371874375,0.5341068213642729,414,4585,73,4926,29.49706900000001,6969.182325999999
DenseNet,lanczos,224,128,0.9296859371874375,0.5416083216643328,513,4486,97,4902,30.75868300000002,7008.350725
DenseNet,hamming,224,128,0.9296859371874375,0.5391078215643129,479,4520,88,4911,32.186652,6547.130653
DenseNet,nearest,224,224,0.9296859371874375,0.9328865773154631,4435,564,107,4892,31.622517,10333.235130000001
DenseNet,box,224,224,0.9296859371874375,0.9372874574914983,4499,500,127,4872,30.065881000000445,10476.239055999999
DenseNet,lanczos,224,224,0.9296859371874375,0.9467893578715744,4648,351,181,4818,29.38850900000034,10467.887717000001
DenseNet,hamming,224,224,0.9296859371874375,0.9413882776555311,4591,408,178,4821,29.915372999999818,10454.970295
DenseNet,nearest,224,176,0.9296859371874375,0.6935387077415484,1974,3025,39,4960,29.552866999998514,8539.061262000003
DenseNet,box,224,176,0.9296859371874375,0.7554510902180436,2607,2392,53,4946,29.475311000001966,8564.784047000001
DenseNet,lanczos,224,176,0.9296859371874375,0.8033606721344269,3126,1873,93,4906,29.879460000003746,8275.864003999995
DenseNet,hamming,224,176,0.9296859371874375,0.7851570314062812,2935,2064,84,4915,35.33005499999854,8460.498282
XceptionNet,nearest,224,128,1.0,0.984375,63,1,0,0,169.579794,36.26070100000004
XceptionNet,nearest,224,224,1.0,0.9921875,127,1,0,0,169.516091,105.03585900000002
XceptionNet,box,224,224,1.0,0.9921875,127,1,0,0,12.61272600000001,99.23764299999999
XceptionNet,lanczos,224,224,1.0,0.9921875,127,1,0,0,12.81249600000001,100.764094
XceptionNet,hamming,224,224,1.0,0.9921875,127,1,0,0,12.86283800000001,100.06827599999997
XceptionNet,nearest,224,176,0.9375,0.9140625,117,11,0,0,178.36655899999994,79.628151
XceptionNet,box,224,176,0.9375,0.921875,118,10,0,0,12.507187000000044,80.06784299999993
XceptionNet,lanczos,224,176,0.9375,0.9296875,119,9,0,0,13.015821999999957,75.93676400000004
XceptionNet,hamming,224,176,0.9375,0.921875,118,10,0,0,12.41241100000002,79.13727300000005
XceptionNet,nearest,224,224,0.8980796159231846,0.8997799559911982,4997,2,1000,3999,104156.972609,8440.170006999993
XceptionNet,box,224,224,0.8980796159231846,0.9117823564712942,4998,1,881,4118,12.610144999998738,8425.388353999995
XceptionNet,lanczos,224,224,0.8980796159231846,0.9175835167033407,4999,0,824,4175,11.989916999998968,8429.827646999998
XceptionNet,hamming,224,224,0.8980796159231846,0.9145829165833167,4999,0,854,4145,12.012114000011934,8383.718347000002
XceptionNet,nearest,224,176,0.8581716343268654,0.5196039207841568,196,4803,0,4999,102856.76460499997,6512.8881809999875
XceptionNet,box,224,176,0.8581716343268654,0.5183036607321464,183,4816,0,4999,12.33223599998746,6438.0103680000175
XceptionNet,lanczos,224,176,0.8581716343268654,0.5201040208041608,201,4798,0,4999,12.142457999987528,6426.356943999999
XceptionNet,hamming,224,176,0.8581716343268654,0.5128025605121024,128,4871,0,4999,11.987159000011161,6406.901858000027
